Cycle,Voltage,Current,Temperature,Capacity
0,4.19979,0.10727,23.97615,2.4652
0,4.19979,0.09706,24.0813,2.46688
0,4.19979,0.08684,23.87099,2.46842
0,4.19979,0.08173,23.76583,2.46982
0,4.19979,0.07407,23.66067,2.47111
0,4.19979,0.06641,23.87099,2.47229
0,4.19979,0.06385,23.87099,2.47338
0,4.19979,0.05874,23.76583,2.47439
0,4.19979,0.05364,23.66067,2.47532
0,4.19979,0.04853,23.87099,2.47614
1,4.19979,0.09706,23.87099,2.37098
1,4.19979,0.08939,23.87099,2.37254
1,4.19979,0.08173,23.87099,2.37397
1,4.19979,0.07407,23.97615,2.37527
1,4.19979,0.06896,23.87099,2.37647
1,4.19979,0.06385,23.87099,2.37757
1,4.19979,0.05874,23.87099,2.3786
1,4.19979,0.05364,23.87099,2.37955
1,4.19979,0.05108,23.87099,2.38043
1,4.19979,0.04853,23.76583,2.38075
2,4.19979,0.10216,23.87099,2.35185
2,4.19979,0.0945,24.0813,2.3535
2,4.19979,0.08684,23.76583,2.35501
2,4.19979,0.08173,23.66067,2.3564
2,4.19979,0.07152,23.66067,2.35767
2,4.19979,0.06641,23.97615,2.35883
2,4.19979,0.0613,23.87099,2.3599
2,4.19979,0.05619,23.87099,2.36089
2,4.19979,0.05364,23.76583,2.36181
2,4.19979,0.04853,23.66067,2.36255
3,4.19979,0.09706,23.87099,2.36176
3,4.19979,0.08684,23.76583,2.3633
3,4.19979,0.07918,23.76583,2.3647
3,4.19979,0.07407,23.97615,2.36598
3,4.19979,0.06896,23.87099,2.36717
3,4.19979,0.06385,23.76583,2.36826
3,4.19979,0.05874,23.87099,2.36928
3,4.19979,0.05619,23.97615,2.37022
3,4.19979,0.05108,23.76583,2.37109
3,4.19979,0.04853,23.76583,2.37113
4,4.19979,0.10472,23.97615,2.36011
4,4.19979,0.09706,23.87099,2.36178
4,4.19979,0.08684,23.76583,2.3633
4,4.19979,0.07918,23.87099,2.3647
4,4.19979,0.07407,23.76583,2.36598
4,4.19979,0.06641,23.76583,2.36715
4,4.19979,0.06385,23.87099,2.36823
4,4.19979,0.05874,23.76583,2.36923
4,4.19979,0.05364,23.76583,2.37015
4,4.19979,0.04853,23.76583,2.3709
5,4.19979,0.09706,23.87099,2.3571
5,4.19979,0.08684,23.97615,2.35863
5,4.19979,0.07918,24.0813,2.36002
5,4.19979,0.07407,23.87099,2.36131
5,4.19979,0.06896,23.76583,2.36249
5,4.19979,0.06385,23.76583,2.36358
5,4.19979,0.05874,23.87099,2.36458
5,4.19979,0.05364,23.87099,2.36552
5,4.19979,0.05108,23.87099,2.36639
5,4.19979,0.04853,23.87099,2.36642
6,4.19979,0.10472,23.87099,2.35487
6,4.19979,0.0945,23.87099,2.35652
6,4.19979,0.08684,23.87099,2.35803
6,4.19979,0.08173,23.87099,2.35943
6,4.19979,0.07407,23.87099,2.36071
6,4.19979,0.06641,23.76583,2.3619
6,4.19979,0.06385,23.87099,2.36299
6,4.19979,0.05619,23.87099,2.364
6,4.19979,0.05364,23.76583,2.36494
6,4.19979,0.04853,23.76583,2.36576
7,4.19979,0.09706,24.0813,2.45224
7,4.19979,0.08684,23.97615,2.45377
7,4.19979,0.08173,23.76583,2.45516
7,4.19979,0.07407,23.97615,2.45645
7,4.19979,0.06641,24.0813,2.45762
7,4.19979,0.06385,23.66067,2.45871
7,4.19979,0.05874,23.76583,2.45973
7,4.19979,0.05364,24.18646,2.46067
7,4.19979,0.05108,24.0813,2.46155
7,4.19979,0.04853,24.0813,2.46155
8,4.19979,0.10216,24.0813,2.33462
8,4.19979,0.09195,23.87099,2.33624
8,4.19979,0.08429,23.66067,2.33772
8,4.19979,0.07662,24.0813,2.33906
8,4.19979,0.07152,24.0813,2.34029
8,4.19979,0.06641,23.55551,2.34143
8,4.19979,0.0613,23.87099,2.34248
8,4.19979,0.05619,24.0813,2.34347
8,4.19979,0.05364,23.97615,2.34438
8,4.19979,0.04853,23.66067,2.34513
9,4.19979,0.10216,23.87099,2.33241
9,4.19979,0.09195,23.87099,2.33402
9,4.19979,0.08429,23.76583,2.33549
9,4.19979,0.07918,23.87099,2.33685
9,4.19979,0.07152,23.97615,2.33809
9,4.19979,0.06641,23.97615,2.33924
9,4.19979,0.0613,23.76583,2.3403
9,4.19979,0.05619,23.66067,2.34127
9,4.19979,0.05364,23.87099,2.34218
9,4.19979,0.04853,23.97615,2.34284
10,4.19979,0.10216,23.66067,2.33541
10,4.19979,0.09195,23.97615,2.33702
10,4.19979,0.08429,24.0813,2.3385
10,4.19979,0.07918,23.87099,2.33986
10,4.19979,0.07152,23.66067,2.34113
10,4.19979,0.06641,23.87099,2.34229
10,4.19979,0.0613,23.97615,2.34335
10,4.19979,0.05619,23.87099,2.34433
10,4.19979,0.05364,23.76583,2.34524
10,4.19979,0.04853,23.76583,2.34598
11,4.19979,0.10216,23.87099,2.333
11,4.19979,0.0945,23.87099,2.33463
11,4.19979,0.08429,23.87099,2.33611
11,4.19979,0.07662,23.87099,2.33748
11,4.19979,0.07152,23.76583,2.33872
11,4.19979,0.06641,23.87099,2.33987
11,4.19979,0.0613,23.87099,2.34094
11,4.19979,0.05619,23.76583,2.34192
11,4.19979,0.05364,23.87099,2.34284
11,4.19979,0.04853,23.87099,2.34336
12,4.19979,0.10216,23.97615,2.33649
12,4.19979,0.0945,23.87099,2.33814
12,4.19979,0.08684,23.87099,2.33963
12,4.19979,0.07918,23.76583,2.34101
12,4.19979,0.07152,23.87099,2.34226
12,4.19979,0.06641,23.76583,2.34342
12,4.19979,0.0613,23.87099,2.34449
12,4.19979,0.05619,23.87099,2.34548
12,4.19979,0.05364,23.87099,2.3464
12,4.19979,0.04853,23.87099,2.34717
