Voltage,Current,Temperature,Capacity,
[V],[A],[C],[Ah],
4.19979,0.10727,23.76583,2.49145,
4.19979,0.09961,23.76583,2.49318,
4.19979,0.08939,23.76583,2.49473,
4.19979,0.08173,23.76583,2.49616,
4.19979,0.07407,23.66067,2.49746,
4.19979,0.06896,23.66067,2.49866,
4.19979,0.06641,23.87099,2.49977,
4.19979,0.0613,23.87099,2.50082,
4.19979,0.05364,23.76583,2.50178,
4.19979,0.04853,23.66067,2.50266,
4.19979,0.09706,23.76583,2.48786,
4.19979,0.08939,23.87099,2.48942,
4.19979,0.08173,23.76583,2.49085,
4.19979,0.07407,23.76583,2.49215,
4.19979,0.06896,23.66067,2.49335,
4.19979,0.06385,23.87099,2.49445,
4.19979,0.05874,23.87099,2.49547,
4.19979,0.05364,23.76583,2.49641,
4.19979,0.05108,23.66067,2.49728,
4.19979,0.04853,23.66067,2.49771,
4.19979,0.13281,23.97615,2.48405,
4.19979,0.12004,23.66067,2.48616,
4.19979,0.10727,23.55551,2.48806,
4.19979,0.09961,23.87099,2.48977,
4.19979,0.08939,23.97615,2.49133,
4.19979,0.08173,23.76583,2.49275,
4.19979,0.07662,23.76583,2.49407,
4.19979,0.06896,23.55551,2.4953,
4.19979,0.06385,23.66067,2.49642,
4.19979,0.05874,23.87099,2.49745,
4.19979,0.09961,23.87099,2.48788,
4.19979,0.08939,23.66067,2.48945,
4.19979,0.08173,23.66067,2.49088,
4.19979,0.07407,23.87099,2.49217,
4.19979,0.06896,23.66067,2.49336,
4.19979,0.06385,23.45035,2.49447,
4.19979,0.05874,23.97615,2.49549,
4.19979,0.05619,24.0813,2.49645,
4.19979,0.05108,23.76583,2.49733,
4.19979,0.04853,23.66067,2.49754,
4.19979,0.09706,23.66067,2.3727,
4.19979,0.08939,23.66067,2.37423,
4.19979,0.08173,23.97615,2.37565,
4.19979,0.07407,23.87099,2.37695,
4.19979,0.06896,23.76583,2.37813,
4.19979,0.0613,23.76583,2.37921,
4.19979,0.05619,23.87099,2.38021,
4.19979,0.05364,23.87099,2.38113,
4.19979,0.05108,23.76583,2.382,
4.19979,0.04853,23.76583,2.38204,
4.19979,0.10472,23.66067,2.3708,
4.19979,0.09706,23.66067,2.37248,
4.19979,0.08684,23.87099,2.37401,
4.19979,0.08173,23.97615,2.37541,
4.19979,0.07407,23.87099,2.3767,
4.19979,0.06896,23.66067,2.37787,
4.19979,0.0613,23.87099,2.37896,
4.19979,0.05874,23.97615,2.37996,
4.19979,0.05364,23.97615,2.38088,
4.19979,0.04853,23.66067,2.38171,
4.19979,0.09706,23.87099,2.38315,
4.19979,0.08939,23.87099,2.3847,
4.19979,0.08173,23.76583,2.38612,
4.19979,0.07407,23.76583,2.38743,
4.19979,0.06896,23.87099,2.38862,
4.19979,0.06385,23.87099,2.38973,
4.19979,0.05874,23.87099,2.39075,
4.19979,0.05619,23.76583,2.39171,
4.19979,0.05108,23.76583,2.39259,
4.19979,0.04853,23.66067,2.39281,
4.19979,0.09706,23.76583,2.37609,
4.19979,0.08939,23.76583,2.37763,
4.19979,0.08173,23.87099,2.37904,
4.19979,0.07407,23.76583,2.38033,
4.19979,0.06896,23.76583,2.38152,
4.19979,0.06385,23.66067,2.38262,
4.19979,0.05874,23.76583,2.38364,
4.19979,0.05364,23.76583,2.38459,
4.19979,0.05108,23.76583,2.38546,
4.19979,0.04853,23.87099,2.38568,
4.19979,0.09706,23.76583,2.37553,
4.19979,0.08939,23.66067,2.37708,
4.19979,0.08173,23.76583,2.3785,
4.19979,0.07407,23.87099,2.37979,
4.19979,0.06896,23.87099,2.38098,
4.19979,0.06385,23.66067,2.38207,
4.19979,0.05874,23.66067,2.38308,
4.19979,0.05364,23.76583,2.38402,
4.19979,0.05108,23.76583,2.38489,
4.19979,0.04853,23.76583,2.38496,
4.19979,0.10727,23.76583,2.53411,
4.19979,0.09706,23.55551,2.53581,
4.19979,0.08939,23.55551,2.53736,
4.19979,0.08173,23.97615,2.53876,
4.19979,0.07407,23.87099,2.54005,
4.19979,0.06896,23.45035,2.54123,
4.19979,0.0613,23.55551,2.54232,
4.19979,0.05874,23.66067,2.54332,
4.19979,0.05364,23.76583,2.54424,
4.19979,0.04853,23.76583,2.54491,
4.19979,0.10727,23.55551,2.4302,
4.19979,0.09706,23.55551,2.4319,
4.19979,0.08939,23.76583,2.43345,
4.19979,0.07918,23.66067,2.43486,
4.19979,0.07407,23.55551,2.43615,
4.19979,0.06896,23.55551,2.43733,
4.19979,0.06385,23.66067,2.43842,
4.19979,0.05874,23.76583,2.43942,
4.19979,0.05364,23.55551,2.44036,
4.19979,0.04853,23.55551,2.44115,
4.19979,0.10472,23.66067,2.41679,
4.19979,0.0945,23.66067,2.41846,
4.19979,0.08684,23.66067,2.41996,
4.19979,0.07918,23.66067,2.42134,
4.19979,0.07152,23.66067,2.4226,
4.19979,0.06641,23.66067,2.42376,
4.19979,0.0613,23.66067,2.42482,
4.19979,0.05619,23.76583,2.4258,
4.19979,0.05108,23.55551,2.42671,
4.19979,0.04853,23.55551,2.4272,
