Voltage,Current,Temperature,Capacity
4.19979,0.08939,23.87099,2.75334
4.19979,0.08429,23.97615,2.75479
4.19979,0.07662,23.87099,2.75613
4.19979,0.07152,23.97615,2.75736
4.19979,0.06641,23.97615,2.75851
4.19979,0.0613,23.97615,2.75957
4.19979,0.05874,23.87099,2.76056
4.19979,0.05364,23.97615,2.76148
4.19979,0.05108,23.87099,2.76235
4.19979,0.04853,23.87099,2.76248
4.19979,0.0945,24.18646,2.80778
4.19979,0.08684,23.55551,2.80931
4.19979,0.08173,23.66067,2.81071
4.19979,0.07407,23.97615,2.81201
4.19979,0.06896,24.18646,2.8132
4.19979,0.06385,24.0813,2.81431
4.19979,0.05874,23.76583,2.81535
4.19979,0.05619,23.55551,2.81632
4.19979,0.05364,23.66067,2.81723
4.19979,0.04853,23.97615,2.81804
4.19979,0.09706,23.76583,2.76104
4.19979,0.08939,23.97615,2.7626
4.19979,0.08173,23.97615,2.76403
4.19979,0.07407,23.87099,2.76535
4.19979,0.06896,23.76583,2.76656
4.19979,0.06385,23.97615,2.76768
4.19979,0.0613,23.97615,2.76872
4.19979,0.05619,23.87099,2.76969
4.19979,0.05364,23.76583,2.7706
4.19979,0.04853,23.87099,2.77136
4.19979,0.09706,23.87099,2.72188
4.19979,0.08939,23.87099,2.72344
4.19979,0.08173,23.76583,2.72487
4.19979,0.07662,23.76583,2.72618
4.19979,0.07152,23.76583,2.72739
4.19979,0.06385,23.76583,2.72851
4.19979,0.05874,23.87099,2.72955
4.19979,0.05619,23.76583,2.73051
4.19979,0.05364,23.76583,2.73141
4.19979,0.04853,23.76583,2.7319
4.19979,0.10983,23.87099,2.6208
4.19979,0.09961,23.97615,2.62254
4.19979,0.09195,23.87099,2.62414
4.19979,0.08429,23.76583,2.62559
4.19979,0.07662,23.87099,2.62694
4.19979,0.07152,23.87099,2.62817
4.19979,0.06641,23.76583,2.6293
4.19979,0.0613,23.97615,2.63036
4.19979,0.05619,23.87099,2.63134
4.19979,0.05364,23.76583,2.63225
4.19979,0.04853,23.76583,2.63296
4.19979,0.0945,23.87099,2.59969
4.19979,0.08684,23.87099,2.60121
4.19979,0.07918,23.76583,2.6026
4.19979,0.07407,23.87099,2.60387
4.19979,0.06896,23.87099,2.60505
4.19979,0.0613,23.87099,2.60614
4.19979,0.05874,23.87099,2.60714
4.19979,0.05364,23.87099,2.60808
4.19979,0.05108,23.87099,2.60895
4.19979,0.04853,23.87099,2.60915
4.19979,0.0945,23.87099,2.59966
4.19979,0.08684,23.87099,2.60117
4.19979,0.07918,23.87099,2.60256
4.19979,0.07407,23.76583,2.60383
4.19979,0.06641,23.76583,2.605
4.19979,0.0613,23.76583,2.60609
4.19979,0.05874,23.76583,2.60709
4.19979,0.05364,23.76583,2.60803
4.19979,0.05108,23.76583,2.6089
4.19979,0.04853,23.87099,2.60902
4.19979,0.09706,23.87099,2.60577
4.19979,0.08684,23.87099,2.60732
4.19979,0.08173,23.97615,2.60874
4.19979,0.07407,23.97615,2.61004
4.19979,0.06896,23.97615,2.61123
4.19979,0.06385,23.76583,2.61233
4.19979,0.05874,23.87099,2.61335
4.19979,0.05364,24.0813,2.61431
4.19979,0.05108,23.97615,2.61519
4.19979,0.04853,23.97615,2.61553
4.19979,0.0945,23.76583,2.60479
4.19979,0.08684,23.97615,2.60633
4.19979,0.08173,23.87099,2.60774
4.19979,0.07407,23.76583,2.60902
4.19979,0.06896,23.76583,2.61021
4.19979,0.06385,23.76583,2.61131
4.19979,0.05874,23.87099,2.61233
