Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt
11/28/2018 1:36:18 PM,22,DCH,14:08.4,56:00.0,0,0,LG_HG2_NN_Char,2.92719,-0.15325,-0.42063,-2.57612,-9.60974,13
11/28/2018 1:37:18 PM,22,DCH,15:08.4,57:00.0,0,0,LG_HG2_NN_Char,2.91607,-0.15325,-0.42063,-2.57865,-9.61712,13
11/28/2018 1:38:18 PM,22,DCH,16:08.4,58:00.0,0,0,LG_HG2_NN_Char,2.90427,-0.15069,-0.42063,-2.58118,-9.6245,13
11/28/2018 1:39:18 PM,22,DCH,17:08.4,59:00.0,0,0,LG_HG2_NN_Char,2.89179,-0.15069,-0.52579,-2.58372,-9.63185,13
11/28/2018 1:40:18 PM,22,DCH,18:08.4,00:00.0,0,0,LG_HG2_NN_Char,2.87831,-0.15069,-0.52579,-2.58626,-9.63917,13
11/28/2018 1:41:18 PM,22,DCH,19:08.4,01:00.0,0,0,LG_HG2_NN_Char,2.86381,-0.15069,-0.52579,-2.58879,-9.64645,13
11/28/2018 1:42:18 PM,22,DCH,20:08.4,02:00.0,0,0,LG_HG2_NN_Char,2.84847,-0.15325,-0.42063,-2.59133,-9.65371,13
11/28/2018 1:43:18 PM,22,DCH,21:08.4,03:00.0,0,0,LG_HG2_NN_Char,2.83229,-0.15069,-0.52579,-2.59388,-9.66095,13
11/28/2018 1:44:18 PM,22,DCH,22:08.4,04:00.0,0,0,LG_HG2_NN_Char,2.81527,-0.15325,-0.52579,-2.59643,-9.66814,13
11/28/2018 1:45:10 PM,22,DCH,23:00.3,04:51.9,0,0,LG_HG2_NN_Char,2.79993,-0.15325,-0.52579,-2.59862,-9.67428,13
11/29/2018 11:33:31 AM,28,DCH,11:20.8,32:00.0,1,0,LG_HG2_NN_Char,3.19806,-1.49925,0.21032,-2.20912,-7.82961,14
11/29/2018 11:34:31 AM,28,DCH,12:20.8,33:00.0,1,0,LG_HG2_NN_Char,3.17362,-1.49925,0.21032,-2.23409,-7.90917,14
11/29/2018 11:35:31 AM,28,DCH,13:20.8,34:00.0,1,0,LG_HG2_NN_Char,3.14446,-1.4967,0.21032,-2.25906,-7.98807,14
11/29/2018 11:36:31 AM,28,DCH,14:20.8,35:00.0,1,0,LG_HG2_NN_Char,3.10957,-1.49925,0.10516,-2.28403,-8.06616,14
11/29/2018 11:37:31 AM,28,DCH,15:20.8,36:00.0,1,0,LG_HG2_NN_Char,3.06827,-1.49925,0.31548,-2.309,-8.14331,14
11/29/2018 11:38:31 AM,28,DCH,16:20.8,37:00.0,1,0,LG_HG2_NN_Char,3.02007,-1.49925,0.31548,-2.33398,-8.21935,14
11/29/2018 11:39:31 AM,28,DCH,17:20.8,38:00.0,1,0,LG_HG2_NN_Char,2.96394,-1.49925,0.31548,-2.35895,-8.2941,14
11/29/2018 11:40:31 AM,28,DCH,18:20.8,39:00.0,1,0,LG_HG2_NN_Char,2.89685,-1.49925,0.42063,-2.38392,-8.36731,14
11/29/2018 11:41:31 AM,28,DCH,19:20.8,40:00.0,1,0,LG_HG2_NN_Char,2.81105,-1.4967,0.10516,-2.4089,-8.43863,14
11/29/2018 11:41:37 AM,28,DCH,19:27.4,40:06.5,1,0,LG_HG2_NN_Char,2.79993,-1.49925,0,-2.4116,-8.44622,14
11/29/2018 3:21:59 PM,34,DCH,59:48.7,15:00.0,2,0,LG_HG2_NN_Char,3.20565,-5.997,4.10118,-1.4997,-5.28024,16
11/29/2018 3:22:59 PM,34,DCH,00:48.7,16:00.0,2,0,LG_HG2_NN_Char,3.163,-5.99956,4.41666,-1.59968,-5.5986,16
11/29/2018 3:23:59 PM,34,DCH,01:48.7,17:00.0,2,0,LG_HG2_NN_Char,3.12204,-5.99956,4.62698,-1.69966,-5.91277,16
11/29/2018 3:24:59 PM,34,DCH,02:48.7,18:00.0,2,0,LG_HG2_NN_Char,3.08193,-5.99956,4.73213,-1.79963,-6.22289,16
11/29/2018 3:25:59 PM,34,DCH,03:48.7,19:00.0,2,0,LG_HG2_NN_Char,3.04114,-5.99956,4.94245,-1.89961,-6.52899,16
11/29/2018 3:26:59 PM,34,DCH,04:48.7,20:00.0,2,0,LG_HG2_NN_Char,3.00051,-5.99956,5.25793,-1.99959,-6.83101,16
11/29/2018 3:27:59 PM,34,DCH,05:48.7,21:00.0,2,0,LG_HG2_NN_Char,2.95753,-5.99956,5.36309,-2.09956,-7.12884,16
11/29/2018 3:28:59 PM,34,DCH,06:48.7,22:00.0,2,0,LG_HG2_NN_Char,2.90949,-5.99956,5.46824,-2.19954,-7.42221,16
11/29/2018 3:29:59 PM,34,DCH,07:48.7,23:00.0,2,0,LG_HG2_NN_Char,2.85066,-5.997,5.78372,-2.29951,-7.71026,16
11/29/2018 3:30:38 PM,34,DCH,08:27.7,23:39.0,2,0,LG_HG2_NN_Char,2.79993,-5.99956,5.99404,-2.3645,-7.89395,16
11/30/2018 9:52:38 AM,33,TABLE,59:52.0,12:48.3,3,1,LG_HG2_CyclesA,2.99748,-2.8427,1.57738,-2.34907,-8.31533,3
11/30/2018 9:52:38 AM,33,TABLE,59:52.1,12:48.4,3,1,LG_HG2_CyclesA,2.99748,-2.8427,1.57738,-2.34915,-8.31557,3
11/30/2018 9:52:38 AM,33,TABLE,59:52.2,12:48.5,3,1,LG_HG2_CyclesA,2.99731,-2.8427,1.57738,-2.34923,-8.31581,3
11/30/2018 9:52:38 AM,33,TABLE,59:52.3,12:48.6,3,1,LG_HG2_CyclesA,2.99731,-2.8427,1.57738,-2.34931,-8.31604,3
11/30/2018 9:52:38 AM,33,TABLE,59:52.4,12:48.7,3,1,LG_HG2_CyclesA,2.99731,-2.8427,1.57738,-2.34939,-8.31628,3
11/30/2018 9:52:38 AM,33,TABLE,59:52.5,12:48.8,3,1,LG_HG2_CyclesA,2.99731,-2.8427,1.57738,-2.34947,-8.31652,3
11/30/2018 9:52:38 AM,33,TABLE,59:52.6,12:48.9,3,1,LG_HG2_CyclesA,2.99731,-2.8427,1.57738,-2.34954,-8.31675,3
11/30/2018 9:52:38 AM,33,TABLE,59:52.7,12:49.0,3,1,LG_HG2_CyclesA,2.99714,-2.8427,1.57738,-2.34962,-8.31699,3
11/30/2018 9:52:38 AM,33,TABLE,59:52.8,12:49.1,3,1,LG_HG2_CyclesA,2.99714,-2.8427,1.57738,-2.3497,-8.31723,3
11/30/2018 9:52:39 AM,33,TABLE,59:52.8,12:49.2,3,1,LG_HG2_CyclesA,2.99714,-2.84526,1.57738,-2.34978,-8.31747,3
11/30/2018 3:30:38 PM,40,TABLE,37:51.8,06:18.1,4,1,LG_HG2_CyclesA,2.92079,-6.57423,0.31548,-2.34814,-8.11248,4
11/30/2018 3:30:38 PM,40,TABLE,37:51.9,06:18.2,4,1,LG_HG2_CyclesA,2.90342,-6.66873,0.31548,-2.34833,-8.11302,4
11/30/2018 3:30:38 PM,40,TABLE,37:52.0,06:18.3,4,1,LG_HG2_CyclesA,2.89213,-6.72492,0.31548,-2.34851,-8.11355,4
11/30/2018 3:30:38 PM,40,TABLE,37:52.1,06:18.4,4,1,LG_HG2_CyclesA,2.88455,-6.75812,0.31548,-2.3487,-8.11409,4
11/30/2018 3:30:38 PM,40,TABLE,37:52.2,06:18.5,4,1,LG_HG2_CyclesA,2.87966,-6.77855,0.31548,-2.34889,-8.11464,4
11/30/2018 3:30:38 PM,40,TABLE,37:52.3,06:18.6,4,1,LG_HG2_CyclesA,2.87561,-6.79132,0.31548,-2.34907,-8.11517,4
11/30/2018 3:30:38 PM,40,TABLE,37:52.4,06:18.7,4,1,LG_HG2_CyclesA,2.87224,-6.79899,0.31548,-2.34926,-8.11572,4
11/30/2018 3:30:38 PM,40,TABLE,37:52.5,06:18.8,4,1,LG_HG2_CyclesA,2.86954,-6.80665,0.31548,-2.34946,-8.11627,4
11/30/2018 3:30:38 PM,40,TABLE,37:52.6,06:18.9,4,1,LG_HG2_CyclesA,2.86668,-6.81431,0.31548,-2.34964,-8.1168,4
11/30/2018 3:30:39 PM,40,TABLE,37:52.7,06:19.0,4,1,LG_HG2_CyclesA,2.83802,-8.39018,0.31548,-2.34988,-8.11747,4
11/30/2018 5:07:26 AM,26,TABLE,14:40.2,44:04.5,5,1,LG_HG2_CyclesA,3.11547,-3.35097,-0.21032,-2.3491,-8.32652,2
11/30/2018 5:07:26 AM,26,TABLE,14:40.3,44:04.6,5,1,LG_HG2_CyclesA,3.11446,-3.35097,-0.21032,-2.34919,-8.3268,2
11/30/2018 5:07:26 AM,26,TABLE,14:40.4,44:04.7,5,1,LG_HG2_CyclesA,3.11362,-3.35352,-0.21032,-2.34929,-8.3271,2
11/30/2018 5:07:26 AM,26,TABLE,14:40.5,44:04.8,5,1,LG_HG2_CyclesA,3.11261,-3.35352,-0.21032,-2.34937,-8.32738,2
11/30/2018 5:07:26 AM,26,TABLE,14:40.6,44:04.9,5,1,LG_HG2_CyclesA,3.11193,-3.35352,-0.21032,-2.34947,-8.32767,2
11/30/2018 5:07:26 AM,26,TABLE,14:40.7,44:05.0,5,1,LG_HG2_CyclesA,3.11109,-3.35607,-0.21032,-2.34956,-8.32797,2
11/30/2018 5:07:26 AM,26,TABLE,14:40.8,44:05.1,5,1,LG_HG2_CyclesA,3.13115,-2.13777,-0.21032,-2.34962,-8.32815,2
11/30/2018 5:07:27 AM,26,TABLE,14:40.9,44:05.2,5,1,LG_HG2_CyclesA,3.15491,-2.11989,-0.21032,-2.34968,-8.32833,2
11/30/2018 5:07:27 AM,26,TABLE,14:41.0,44:05.3,5,1,LG_HG2_CyclesA,3.16503,-2.10712,-0.21032,-2.34974,-8.32852,2
11/30/2018 5:07:27 AM,26,TABLE,14:41.0,44:05.3,5,1,LG_HG2_CyclesA,3.16503,-2.10712,-0.21032,-2.34974,-8.32852,2
11/30/2018 7:49:02 PM,47,TABLE,56:15.8,46:20.8,6,1,LG_HG2_CyclesA,2.79976,-6.42098,3.78571,-2.34845,-7.78769,5
11/30/2018 7:49:02 PM,47,TABLE,56:15.9,46:20.9,6,1,LG_HG2_CyclesA,2.79976,-6.3699,3.78571,-2.34863,-7.78817,5
11/30/2018 7:49:02 PM,47,TABLE,56:16.0,46:21.0,6,1,LG_HG2_CyclesA,2.79976,-6.32648,3.78571,-2.3488,-7.78866,5
11/30/2018 7:49:02 PM,47,TABLE,56:16.1,46:21.1,6,1,LG_HG2_CyclesA,2.79976,-6.28817,3.78571,-2.34898,-7.78916,5
11/30/2018 7:49:02 PM,47,TABLE,56:16.2,46:21.2,6,1,LG_HG2_CyclesA,2.79976,-6.25241,3.78571,-2.34915,-7.78965,5
11/30/2018 7:49:02 PM,47,TABLE,56:16.3,46:21.3,6,1,LG_HG2_CyclesA,2.81813,-4.80169,3.78571,-2.34928,-7.79,5
11/30/2018 7:49:02 PM,47,TABLE,56:16.4,46:21.4,6,1,LG_HG2_CyclesA,2.83381,-4.90896,3.78571,-2.34942,-7.79039,5
11/30/2018 7:49:02 PM,47,TABLE,56:16.5,46:21.5,6,1,LG_HG2_CyclesA,2.83988,-4.92684,3.78571,-2.34955,-7.79077,5
11/30/2018 7:49:03 PM,47,TABLE,56:16.6,46:21.6,6,1,LG_HG2_CyclesA,2.84241,-4.92428,3.78571,-2.34968,-7.79115,5
11/30/2018 7:49:03 PM,47,TABLE,56:16.7,46:21.7,6,1,LG_HG2_CyclesA,2.84291,-4.92428,3.78571,-2.34982,-7.79154,5
12-01-2018 01:03,54,TABLE,10:20.1,42:11.6,7,1,LG_HG2_CyclesA,2.98012,-2.08158,2.94444,-2.3493,-8.13345,6
12-01-2018 01:03,54,TABLE,10:20.2,42:11.7,7,1,LG_HG2_CyclesA,2.99209,-2.0637,2.94444,-2.34935,-8.13362,6
12-01-2018 01:03,54,TABLE,10:20.3,42:11.8,7,1,LG_HG2_CyclesA,2.99799,-2.05349,2.94444,-2.34941,-8.13379,6
