Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt
11/13/2018 7:33:13 PM,46,TABLE,11:22.5,54:32.6,0,1,LG_HG2_CyclesA,3.02293,-1.0012,12.09323,-2.47787,-8.41075,6
11/13/2018 7:33:14 PM,46,TABLE,11:22.6,54:32.7,0,1,LG_HG2_CyclesA,3.02411,-0.99865,12.09323,-2.4779,-8.41083,6
11/13/2018 7:33:14 PM,46,TABLE,11:22.7,54:32.7,0,1,LG_HG2_CyclesA,3.02512,-0.99865,12.09323,-2.47793,-8.41092,6
11/13/2018 7:33:14 PM,46,TABLE,11:22.8,54:32.8,0,1,LG_HG2_CyclesA,2.8773,-8.47447,12.09323,-2.47812,-8.41148,6
11/13/2018 7:33:14 PM,46,TABLE,11:22.9,54:33.0,0,1,LG_HG2_CyclesA,2.83111,-8.75286,12.09323,-2.47836,-8.41217,6
11/13/2018 7:33:14 PM,46,TABLE,11:23.0,54:33.0,0,1,LG_HG2_CyclesA,2.80903,-8.85247,12.09323,-2.47861,-8.41287,6
11/13/2018 7:33:14 PM,46,TABLE,11:23.1,54:33.2,0,1,LG_HG2_CyclesA,2.80229,-8.70689,12.09323,-2.47885,-8.41354,6
11/13/2018 7:33:14 PM,46,TABLE,11:23.2,54:33.2,0,1,LG_HG2_CyclesA,2.8006,-8.54598,12.09323,-2.47909,-8.41422,6
11/13/2018 7:33:14 PM,46,TABLE,11:23.3,54:33.3,0,1,LG_HG2_CyclesA,2.79993,-8.37741,12.09323,-2.47933,-8.41488,6
11/13/2018 7:33:14 PM,46,TABLE,11:23.4,54:33.4,0,1,LG_HG2_CyclesA,2.79993,-8.28291,12.09323,-2.47956,-8.41551,6
11/14/2018 12:57:48 AM,53,TABLE,35:56.8,50:33.6,1,1,LG_HG2_CyclesA,2.93478,-6.04298,10.51585,-2.47778,-8.67455,7
11/14/2018 12:57:48 AM,53,TABLE,35:56.9,50:33.7,1,1,LG_HG2_CyclesA,2.93343,-6.04553,10.51585,-2.47795,-8.67504,7
11/14/2018 12:57:48 AM,53,TABLE,35:57.0,50:33.8,1,1,LG_HG2_CyclesA,2.91135,-7.70058,10.62101,-2.47811,-8.67553,7
11/14/2018 12:57:48 AM,53,TABLE,35:57.1,50:33.9,1,1,LG_HG2_CyclesA,2.88657,-7.76188,10.62101,-2.47833,-8.67616,7
11/14/2018 12:57:48 AM,53,TABLE,35:57.2,50:34.0,1,1,LG_HG2_CyclesA,2.87511,-7.81551,10.62101,-2.47855,-8.67678,7
11/14/2018 12:57:48 AM,53,TABLE,35:57.3,50:34.1,1,1,LG_HG2_CyclesA,2.86887,-7.85127,10.62101,-2.47877,-8.67742,7
11/14/2018 12:57:48 AM,53,TABLE,35:57.4,50:34.2,1,1,LG_HG2_CyclesA,2.86449,-7.8717,10.62101,-2.47898,-8.67802,7
11/14/2018 12:57:48 AM,53,TABLE,35:57.5,50:34.3,1,1,LG_HG2_CyclesA,2.86112,-7.88447,10.62101,-2.47921,-8.67867,7
11/14/2018 12:57:49 AM,53,TABLE,35:57.6,50:34.4,1,1,LG_HG2_CyclesA,2.85842,-7.89214,10.62101,-2.47943,-8.67931,7
11/14/2018 12:57:49 AM,53,TABLE,35:57.6,50:34.5,1,1,LG_HG2_CyclesA,2.85724,-7.89469,10.62101,-2.47964,-8.6799,7
11/14/2018 6:31:54 AM,60,TABLE,10:03.1,59:35.4,2,1,LG_HG2_CyclesA,2.95635,-3.89754,11.46228,-2.47871,-8.72036,8
11/14/2018 6:31:54 AM,60,TABLE,10:03.2,59:35.5,2,1,LG_HG2_CyclesA,2.95534,-3.90265,11.46228,-2.47882,-8.72069,8
11/14/2018 6:31:54 AM,60,TABLE,10:03.3,59:35.6,2,1,LG_HG2_CyclesA,2.9545,-3.9052,11.46228,-2.47893,-8.72101,8
11/14/2018 6:31:55 AM,60,TABLE,10:03.4,59:35.7,2,1,LG_HG2_CyclesA,2.95365,-3.90776,11.46228,-2.47904,-8.72132,8
11/14/2018 6:31:55 AM,60,TABLE,10:03.5,59:35.8,2,1,LG_HG2_CyclesA,2.95298,-3.90776,11.56744,-2.47914,-8.72164,8
11/14/2018 6:31:55 AM,60,TABLE,10:03.6,59:35.9,2,1,LG_HG2_CyclesA,2.95214,-3.90776,11.56744,-2.47926,-8.72197,8
11/14/2018 6:31:55 AM,60,TABLE,10:03.7,59:36.0,2,1,LG_HG2_CyclesA,2.95129,-3.91031,11.56744,-2.47936,-8.72228,8
